"09290: Svevestøv, organiske miljøgifter fra norsk økonomisk aktivitet, etter statistikkvariabel, næring, komponent og år",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26
,,PAH-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Dioksin,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Produksjon av maskiner og utstyr ellers,Svevestøv - TSP,5,5,7,5,5,7,7,7,3,3,3,3,3,3,3,3,2,3,2,2,2,1,1,1
,,Svevestøv - PM10,4,4,5,4,4,5,5,5,3,2,2,2,2,3,2,2,2,2,2,2,1,1,1,1
,,"Svevestøv - PM2,5",3,3,4,3,3,4,4,4,2,2,1,2,2,2,2,1,2,2,1,2,1,1,1,1
,,PAH-4,0,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,0
,,Dioksin,1,1,1,1,1,3,4,3,1,1,1,1,1,1,1,1,1,3,1,1,1,0,0,0
,Produksjon av motorvogner og tilhengere,Svevestøv - TSP,4,7,7,10,14,6,5,7,6,3,5,4,4,4,4,4,3,5,5,4,4,4,4,4
,,Svevestøv - PM10,2,5,4,6,9,4,3,4,4,2,4,4,4,4,4,3,3,4,4,3,3,3,3,3
,,"Svevestøv - PM2,5",1,2,2,2,4,2,1,2,2,1,2,2,2,2,2,1,1,2,2,1,1,2,1,1
,,PAH-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
,,Dioksin,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,Produksjon av andre transportmidler,Svevestøv - TSP,16,22,20,13,10,11,13,16,13,11,9,12,13,12,8,7,5,6,6,8,5,10,7,6
,,Svevestøv - PM10,5,7,7,8,4,6,7,9,6,4,3,6,6,6,5,4,2,3,3,5,3,7,4,3
,,"Svevestøv - PM2,5",4,7,6,7,3,5,7,9,5,4,2,6,6,6,4,3,2,3,3,5,2,6,4,3
,,PAH-4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
,,Dioksin,6,11,11,11,3,6,9,16,9,6,1,11,11,12,9,7,4,5,7,11,5,15,9,5
,Produksjon av møbler og annen industriproduksjon,Svevestøv - TSP,30,30,24,34,32,40,56,21,15,14,13,13,18,20,14,11,6,7,8,7,7,8,5,6
,,Svevestøv - PM10,28,28,22,31,30,37,52,19,14,13,11,12,16,19,13,11,5,6,8,6,6,7,4,5
,,"Svevestøv - PM2,5",27,27,21,31,29,37,52,19,13,13,11,12,16,18,13,11,5,6,8,6,6,7,4,5
,,PAH-4,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Dioksin,11,11,8,12,12,15,21,7,5,5,5,5,6,7,5,4,2,3,3,3,3,3,2,2
,Reparasjon og installasjon av maskiner og utstyr,Svevestøv - TSP,3,15,15,19,18,29,29,29,6,10,7,7,6,6,6,6,10,5,5,6,6,5,5,5
,,Svevestøv - PM10,2,3,3,2,2,3,3,3,2,3,3,3,2,1,2,2,6,1,1,2,2,1,2,1
,,"Svevestøv - PM2,5",2,3,2,2,2,3,3,2,1,3,3,2,2,1,2,2,5,1,1,2,2,1,1,1
,,PAH-4,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2
,,Dioksin,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,11,1,1,1,2,1,1,1
,"Elektrisitets-, gass- og varmtvannsforsyning",Svevestøv - TSP,395,339,323,335,350,374,393,374,430,628,1106,830,919,1013,1088,1323,1468,1501,1569,1690,1533,1919,1913,2079
,,Svevestøv - PM10,288,230,215,231,248,276,297,277,342,526,959,707,797,883,952,1173,1307,1336,1398,1513,1367,1733,1723,1889
,,"Svevestøv - PM2,5",176,113,99,122,141,177,203,177,259,435,851,606,705,788,857,1077,1210,1234,1293,1409,1266,1639,1624,1804
,,PAH-4,13,13,9,10,10,11,10,14,14,13,15,14,13,14,12,10,11,11,12,12,11,14,14,14
,,Dioksin,2200,2846,2124,1139,1032,693,653,644,618,656,832,1102,695,686,641,723,762,828,849,868,792,937,935,1008
,"Uttak fra kilde, rensing og distribusjon av vann",Svevestøv - TSP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Svevestøv - PM10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,"Svevestøv - PM2,5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,PAH-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,Dioksin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Avløps- og renovasjonsvirksomhet,Svevestøv - TSP,25,48,53,97,73,92,110,107,118,106,59,67,60,59,80,97,118,114,126,124,128,100,66,78
